Time	Symbol	MarketMode	State	TradeUUID	Event	StartAdjusted	DeepBandON	ImpulseATR	StartPrice	EndPrice	BandLower	BandUpper	TouchCount	FreezeCancelCount	ConfirmType	EntryType	EntryPrice	SL	TP	SpreadPts	SlippagePts	FillDeviationPts	Result	RejectReason	Extra
2026.03.10 18:13:00	GOLD#	GOLD	IDLE	20260310181300_01	LOG_REJECT	true	false	2.45	5228.22	5222.63	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	30.0	0.0	0.0		TREND_MISMATCH	
2026.03.10 20:03:00	GOLD#	GOLD	IDLE	20260310200300_01	LOG_REJECT	true	false	2.21	5226.15	5217.74	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	30.0	0.0	0.0		TREND_MISMATCH	
2026.03.10 20:15:00	GOLD#	GOLD	IDLE	20260310201500_01	LOG_REJECT	true	false	3.62	5227.24	5215.55	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	32.0	0.0	0.0		TREND_FLAT	
2026.03.10 20:17:00	GOLD#	GOLD	IDLE	20260310201700_01	LOG_REJECT	false	false	4.12	5216.75	5205.42	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	31.0	0.0	0.0		TREND_FLAT	
2026.03.10 20:18:00	GOLD#	GOLD	IDLE	20260310201800_01	LOG_REJECT	false	false	5.40	5206.32	5187.26	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	31.0	0.0	0.0		TREND_FLAT	
2026.03.10 20:19:00	GOLD#	GOLD	IDLE	20260310201900_01	LOG_REJECT	false	false	6.64	5195.86	5174.97	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	32.0	0.0	0.0		TREND_FLAT	
2026.03.10 21:01:00	GOLD#	GOLD	IDLE	20260310210100_01	LOG_REJECT	false	false	3.16	5192.16	5184.38	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	31.0	0.0	0.0		TREND_FLAT	
2026.03.10 21:02:00	GOLD#	GOLD	IDLE	20260310210200_01	LOG_REJECT	false	false	3.58	5184.26	5192.22	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	31.0	0.0	0.0		TREND_FLAT	
2026.03.10 22:22:00	GOLD#	GOLD	IDLE	20260310222200_01	LOG_REJECT	true	false	1.53	5191.72	5196.03	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	29.0	0.0	0.0		TREND_FLAT	
2026.03.10 22:48:00	GOLD#	GOLD	IDLE	20260310224800_01	LOG_REJECT	true	false	1.25	5198.95	5195.34	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	31.0	0.0	0.0		TREND_FLAT	
2026.03.11 00:01:00	GOLD#	GOLD	IDLE	20260311000100_01	LOG_REJECT	false	false	1.90	5186.91	5192.78	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	44.0	0.0	0.0		TREND_FLAT	
2026.03.11 02:02:00	GOLD#	GOLD	IDLE	20260311020200_01	LOG_REJECT	true	false	1.48	5198.15	5193.77	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	30.0	0.0	0.0		TREND_FLAT	
2026.03.11 02:19:00	GOLD#	GOLD	IDLE	20260311021900_01	LOG_REJECT	false	false	2.99	5194.77	5203.22	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	31.0	0.0	0.0		TREND_FLAT	
2026.03.11 02:45:00	GOLD#	GOLD	IDLE	20260311024500_01	LOG_REJECT	false	false	1.69	5207.28	5211.71	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	29.0	0.0	0.0		TREND_FLAT	
