swing_lb,pullback_zone,ema_trend_lb,kr_body_ratio,trades,wins,win_rate,total_pnl,profit_factor
3,0.3,2,0.2,11,4,36.36363636363637,-653.0000000000655,0.8208504801097205
3,0.3,2,0.3,11,4,36.36363636363637,-653.0000000000655,0.8208504801097205
3,0.3,2,0.4,11,3,27.27272727272727,-2297.0000000000255,0.47183260519658843
3,0.3,3,0.2,11,4,36.36363636363637,-653.0000000000655,0.8208504801097205
3,0.3,3,0.3,11,4,36.36363636363637,-653.0000000000655,0.8208504801097205
3,0.3,3,0.4,10,3,30.0,-1840.0000000000546,0.5272353545734709
3,0.3,5,0.2,11,4,36.36363636363637,-653.0000000000655,0.8208504801097205
3,0.3,5,0.3,11,4,36.36363636363637,-653.0000000000655,0.8208504801097205
3,0.3,5,0.4,11,3,27.27272727272727,-2297.0000000000255,0.47183260519658843
3,0.5,2,0.2,13,6,46.15384615384615,634.9999999999454,1.1902906802517075
3,0.5,2,0.3,13,6,46.15384615384615,634.9999999999454,1.1902906802517075
3,0.5,2,0.4,13,5,38.46153846153847,-1009.0000000000146,0.7503093293739128
3,0.5,3,0.2,13,6,46.15384615384615,634.9999999999454,1.1902906802517075
3,0.5,3,0.3,13,6,46.15384615384615,634.9999999999454,1.1902906802517075
3,0.5,3,0.4,13,5,38.46153846153847,-986.0000000000582,0.7546042807366722
3,0.5,5,0.2,13,6,46.15384615384615,634.9999999999454,1.1902906802517075
3,0.5,5,0.3,13,6,46.15384615384615,634.9999999999454,1.1902906802517075
3,0.5,5,0.4,13,5,38.46153846153847,-1009.0000000000146,0.7503093293739128
3,0.7,2,0.2,22,11,50.0,2929.0000000003147,1.5803447592629931
3,0.7,2,0.3,22,11,50.0,2929.0000000003147,1.5803447592629931
3,0.7,2,0.4,21,10,47.61904761904761,2298.0000000002747,1.4340763128070027
3,0.7,3,0.2,22,11,50.0,2929.0000000003147,1.5803447592629931
3,0.7,3,0.3,22,11,50.0,2929.0000000003147,1.5803447592629931
3,0.7,3,0.4,21,10,47.61904761904761,2298.0000000002747,1.4340763128070027
3,0.7,5,0.2,21,11,52.38095238095239,3361.0000000002856,1.7282773564464309
3,0.7,5,0.3,21,11,52.38095238095239,3361.0000000002856,1.7282773564464309
3,0.7,5,0.4,20,10,50.0,2730.0000000002456,1.561497326203255
5,0.3,2,0.2,11,5,45.45454545454545,231.00000000004002,1.064869418702625
5,0.3,2,0.3,11,5,45.45454545454545,231.00000000004002,1.064869418702625
5,0.3,2,0.4,11,5,45.45454545454545,231.00000000004002,1.064869418702625
5,0.3,3,0.2,10,5,50.0,688.0000000000109,1.2216494845360928
5,0.3,3,0.3,10,5,50.0,688.0000000000109,1.2216494845360928
5,0.3,3,0.4,10,5,50.0,688.0000000000109,1.2216494845360928
5,0.3,5,0.2,11,5,45.45454545454545,231.00000000004002,1.064869418702625
5,0.3,5,0.3,11,5,45.45454545454545,231.00000000004002,1.064869418702625
5,0.3,5,0.4,11,5,45.45454545454545,231.00000000004002,1.064869418702625
5,0.5,2,0.2,13,6,46.15384615384615,465.00000000005457,1.1089758612608562
5,0.5,2,0.3,12,6,50.0,773.9999999999782,1.1955533097523996
5,0.5,2,0.4,13,5,38.46153846153847,-1715.9999999998945,0.6884531590414028
5,0.5,3,0.2,13,6,46.15384615384615,465.00000000005457,1.1089758612608562
5,0.5,3,0.3,12,6,50.0,773.9999999999782,1.1955533097523996
5,0.5,3,0.4,13,5,38.46153846153847,-1692.9999999999382,0.6913400182315437
5,0.5,5,0.2,13,6,46.15384615384615,465.00000000005457,1.1089758612608562
5,0.5,5,0.3,12,6,50.0,773.9999999999782,1.1955533097523996
5,0.5,5,0.4,13,5,38.46153846153847,-1715.9999999998945,0.6884531590414028
5,0.7,2,0.2,22,9,40.909090909090914,979.0000000002237,1.1429405752664983
5,0.7,2,0.3,21,9,42.857142857142854,1288.0000000001473,1.1969418960244897
5,0.7,2,0.4,21,8,38.095238095238095,-523.9999999997508,0.9293038316244251
5,0.7,3,0.2,22,9,40.909090909090914,979.0000000002237,1.1429405752664983
5,0.7,3,0.3,21,9,42.857142857142854,1288.0000000001473,1.1969418960244897
5,0.7,3,0.4,21,8,38.095238095238095,-500.99999999979445,0.93219650832321
5,0.7,5,0.2,20,9,45.0,2089.000000000169,1.3640006969855736
5,0.7,5,0.3,19,9,47.368421052631575,2398.0000000000928,1.4416206261510323
5,0.7,5,0.4,20,8,40.0,-91.9999999997799,0.986819484240719
7,0.3,2,0.2,10,6,60.0,3368.9999999999145,2.253814663193147
7,0.3,2,0.3,10,6,60.0,3368.9999999999145,2.253814663193147
7,0.3,2,0.4,10,6,60.0,3368.9999999999145,2.253814663193147
7,0.3,3,0.2,9,6,66.66666666666666,3825.9999999998854,2.7156950672645435
7,0.3,3,0.3,9,6,66.66666666666666,3825.9999999998854,2.7156950672645435
7,0.3,3,0.4,9,6,66.66666666666666,3825.9999999998854,2.7156950672645435
7,0.3,5,0.2,10,6,60.0,3368.9999999999145,2.253814663193147
7,0.3,5,0.3,10,6,60.0,3368.9999999999145,2.253814663193147
7,0.3,5,0.4,10,6,60.0,3368.9999999999145,2.253814663193147
7,0.5,2,0.2,13,9,69.23076923076923,6435.999999999785,3.4696853415195363
7,0.5,2,0.3,13,9,69.23076923076923,6435.999999999785,3.4696853415195363
7,0.5,2,0.4,13,7,53.84615384615385,3627.9999999998836,2.0797619047618876
7,0.5,3,0.2,13,9,69.23076923076923,6435.999999999785,3.4696853415195363
7,0.5,3,0.3,13,9,69.23076923076923,6435.999999999785,3.4696853415195363
7,0.5,3,0.4,13,7,53.84615384615385,3650.99999999984,2.0940964938567133
7,0.5,5,0.2,13,9,69.23076923076923,6435.999999999785,3.4696853415195363
7,0.5,5,0.3,13,9,69.23076923076923,6435.999999999785,3.4696853415195363
7,0.5,5,0.4,13,7,53.84615384615385,3627.9999999998836,2.0797619047618876
7,0.7,2,0.2,18,10,55.55555555555556,4939.999999999873,2.0564585115483203
7,0.7,2,0.3,18,10,55.55555555555556,4939.999999999873,2.0564585115483203
7,0.7,2,0.4,17,8,47.05882352941176,2809.9999999999454,1.5913299663299607
7,0.7,3,0.2,18,10,55.55555555555556,4939.999999999873,2.0564585115483203
7,0.7,3,0.3,18,10,55.55555555555556,4939.999999999873,2.0564585115483203
7,0.7,3,0.4,17,8,47.05882352941176,2832.999999999902,1.5990695707337501
7,0.7,5,0.2,17,10,58.82352941176471,5617.999999999847,2.4052026013006276
7,0.7,5,0.3,17,10,58.82352941176471,5617.999999999847,2.4052026013006276
7,0.7,5,0.4,17,8,47.05882352941176,2809.9999999999454,1.5913299663299607
